-125.0,-572.5
-124.148,-460.519
-123.297,-543.538
-122.445,-579.557
-121.593,-318.576
-120.741,-231.595
-119.89,-287.614
-119.038,-420.633
-118.186,-469.652
-117.335,-462.671
-116.483,-508.69
-115.631,-333.709
-114.78,-582.728
-113.928,-439.747
-113.076,-514.767
-112.224,-570.786
-111.373,-448.805
-110.521,-442.824
-109.669,-438.843
-108.818,-352.862
-107.966,-504.881
-107.114,-323.9
-106.263,-286.919
-105.411,-185.938
-104.559,-231.957
-103.707,-407.976
-102.856,-316.995
-102.004,-176.014
-101.152,-468.033
-100.301,-472.052
-99.449,-162.071
-98.597,-380.09
-97.745,-468.109
-96.894,-245.128
-96.042,-165.147
-95.19,-247.166
-94.339,-199.185
-93.487,-513.204
-92.635,-410.223
-91.784,-416.242
-90.932,-477.262
-90.08,-294.281
-89.228,-167.3
-88.377,-255.319
-87.525,-146.338
-86.673,-129.357
-85.822,-248.376
-84.97,-337.395
-84.118,-431.414
-83.267,-212.433
-82.415,-249.452
-81.563,-479.471
-80.711,-92.49
-79.86,-208.509
-79.008,-145.528
-78.156,-242.547
-77.305,-403.566
-76.453,-416.585
-75.601,-167.604
-74.749,-303.623
-73.898,-376.642
-73.046,-236.661
-72.194,-408.68
-71.343,-283.699
-70.491,-382.718
-69.639,-272.737
-68.788,-383.757
-67.936,-363.776
-67.084,-319.795
-66.232,-371.814
-65.381,-72.833
-64.529,-286.852
-63.677,-136.871
-62.826,-41.89
-61.974,-309.909
-61.122,-367.928
-60.271,-233.947
-59.419,-376.966
-58.567,-278.985
-57.715,-224.004
-56.864,3.977
-56.012,-362.042
-55.16,-279.061
-54.309,-132.08
-53.457,-316.099
-52.605,-207.118
-51.754,-125.137
-50.902,-35.156
-50.05,-318.175
-49.198,-155.194
-48.347,-333.213
-47.495,-72.232
-46.643,-322.252
-45.792,-284.271
-44.94,-244.29
-44.088,-281.309
-43.236,-264.328
-42.385,-314.347
-41.533,-324.366
-40.681,-320.385
-39.83,-272.404
-38.978,-245.423
-38.126,-212.442
-37.275,-39.461
-36.423,-83.48
-35.571,-274.499
-34.719,32.482
-33.868,18.463
-33.016,-81.556
-32.164,-85.575
-31.313,-273.594
-30.461,-185.613
-29.609,90.368
-28.758,-19.651
-27.906,-276.67
